time,br30_gobgp,br30_jool
0.0,0,0
0.20000004768371582,0,0
0.5,0,0
0.7000000476837158,0,0
0.9000000953674316,0,0
1.0999999046325684,0,0
1.2999999523162842,0,0
1.5,0,0
1.7999999523162842,0,0
2.0,0,0
2.200000047683716,0,0
2.4000000953674316,0,0
2.5999999046325684,0,0
2.9000000953674316,0,0
3.0999999046325684,0,0
3.299999952316284,0,0
3.5,0,0
3.700000047683716,0,0
3.9000000953674316,0,0
4.200000047683716,0,0
4.400000095367432,1,1
4.599999904632568,1,1
4.799999952316284,1,1
5.0,2,2
5.299999952316284,3,3
5.5,3,3
5.700000047683716,3,3
5.900000095367432,4,4
6.099999904632568,4,4
6.299999952316284,5,5
6.599999904632568,6,6
6.799999952316284,6,6
7.0,6,6
7.200000047683716,6,6
7.400000095367432,6,6
7.700000047683716,8,8
7.900000095367432,9,9
8.099999904632568,9,9
8.299999952316284,9,9
8.5,9,9
8.700000047683716,10,10
8.900000095367432,10,10
9.200000047683716,10,10
9.400000095367432,12,12
9.599999904632568,12,12
9.799999952316284,12,12
10.0,12,12
10.299999952316284,12,12
10.5,12,12
10.700000047683716,12,12
10.900000095367432,12,12
11.099999904632568,13,13
11.299999952316284,13,13
11.599999904632568,13,13
11.799999952316284,14,14
12.0,14,14
12.200000047683716,14,14
12.400000095367432,14,14
12.700000047683716,14,14
12.900000095367432,16,16
13.099999904632568,17,17
13.299999952316284,17,17
13.5,17,17
13.700000047683716,17,17
14.0,17,17
14.200000047683716,17,17
14.400000095367432,18,18
14.599999904632568,19,19
14.900000095367432,19,19
15.099999904632568,20,19
15.299999952316284,20,20
15.5,20,20
15.700000047683716,22,22
16.0,23,23
16.200000047683716,23,23
16.40000009536743,23,23
16.700000047683716,23,23
16.90000009536743,24,24
17.09999990463257,24,24
17.299999952316284,24,24
17.5,25,25
17.700000047683716,27,26
18.0,27,27
18.200000047683716,27,27
18.40000009536743,27,27
18.59999990463257,27,27
18.799999952316284,28,28
19.09999990463257,28,28
19.299999952316284,29,29
19.5,29,29
19.799999952316284,29,29
20.0,29,29
20.200000047683716,29,29
20.40000009536743,29,29
20.59999990463257,29,29
20.799999952316284,29,29
21.09999990463257,31,31
21.299999952316284,31,31
21.5,31,31
21.700000047683716,31,31
22.0,31,31
22.200000047683716,31,31
22.40000009536743,33,33
22.59999990463257,33,33
22.799999952316284,33,33
23.0,33,33
23.299999952316284,34,34
23.5,34,34
23.700000047683716,34,34
23.90000009536743,36,36
24.200000047683716,36,36
24.40000009536743,36,36
24.59999990463257,36,36
24.799999952316284,36,36
25.0,37,37
25.299999952316284,37,37
25.5,37,37
25.700000047683716,37,37
25.90000009536743,37,37
26.09999990463257,37,37
26.40000009536743,38,38
26.59999990463257,38,38
26.799999952316284,38,38
27.0,38,38
27.200000047683716,38,38
27.5,39,39
27.700000047683716,40,40
27.90000009536743,40,40
28.09999990463257,40,40
28.299999952316284,41,41
28.59999990463257,41,41
28.799999952316284,41,41
29.0,41,41
29.200000047683716,42,42
29.40000009536743,42,42
29.700000047683716,43,43
29.90000009536743,44,44
30.09999990463257,44,44
30.299999952316284,44,44
30.5,45,45
30.799999952316284,45,45
31.0,46,46
31.200000047683716,46,46
31.40000009536743,46,46
31.59999990463257,46,46
31.90000009536743,47,47
32.09999990463257,47,47
32.299999952316284,47,47
32.5,47,47
32.799999952316284,48,48
33.0,48,48
33.200000047683716,49,49
33.40000009536743,50,50
33.59999990463257,50,50
33.799999952316284,50,50
34.09999990463257,51,51
34.299999952316284,53,53
34.5,53,53
34.700000047683716,53,53
34.90000009536743,54,54
35.200000047683716,54,54
35.40000009536743,54,54
35.59999990463257,54,54
35.799999952316284,55,55
36.0,56,56
36.299999952316284,56,56
36.5,56,56
36.700000047683716,58,58
36.90000009536743,58,58
37.09999990463257,58,58
37.299999952316284,58,58
37.59999990463257,58,58
37.799999952316284,58,58
38.0,58,58
38.200000047683716,58,58
38.40000009536743,59,59
38.700000047683716,60,60
38.90000009536743,61,61
39.09999990463257,62,62
39.299999952316284,62,62
39.5,62,62
39.700000047683716,62,62
40.0,62,62
40.200000047683716,63,63
40.40000009536743,64,64
40.59999990463257,64,64
40.799999952316284,64,64
41.09999990463257,64,64
41.299999952316284,64,64
41.5,64,64
41.700000047683716,64,64
41.90000009536743,64,64
42.200000047683716,64,64
42.40000009536743,65,65
42.59999990463257,66,66
42.799999952316284,66,66
43.0,66,66
43.200000047683716,66,66
43.5,66,66
43.700000047683716,67,67
43.90000009536743,68,68
44.09999990463257,68,68
44.40000009536743,68,68
44.59999990463257,69,69
44.799999952316284,69,69
45.0,70,70
45.200000047683716,70,70
45.5,70,70
45.700000047683716,70,70
45.90000009536743,70,70
46.09999990463257,70,70
46.299999952316284,70,70
46.5,72,72
46.799999952316284,72,72
47.0,73,73
47.200000047683716,73,73
47.40000009536743,73,73
47.700000047683716,74,74
47.90000009536743,74,74
48.09999990463257,75,75
48.299999952316284,75,75
48.59999990463257,76,76
48.799999952316284,77,77
49.0,77,77
49.200000047683716,77,77
49.40000009536743,77,77
49.59999990463257,78,78
49.90000009536743,78,78
50.09999990463257,78,78
50.299999952316284,78,78
50.5,79,79
50.700000047683716,79,79
50.90000009536743,79,79
51.200000047683716,79,79
51.40000009536743,79,79
51.59999990463257,79,79
51.799999952316284,79,79
52.0,79,79
52.200000047683716,80,80
52.5,81,81
52.700000047683716,83,82
52.90000009536743,83,83
53.09999990463257,83,83
53.40000009536743,83,83
53.59999990463257,84,84
53.799999952316284,86,86
54.0,86,86
54.200000047683716,86,86
54.40000009536743,86,86
54.700000047683716,86,86
54.90000009536743,86,86
55.09999990463257,87,87
55.299999952316284,88,88
55.59999990463257,88,88
55.799999952316284,89,89
56.0,90,90
56.200000047683716,90,90
56.5,90,90
56.700000047683716,90,90
56.90000009536743,90,90
57.09999990463257,91,91
57.299999952316284,91,91
57.5,91,91
57.799999952316284,91,91
58.0,91,91
58.200000047683716,91,91
58.40000009536743,91,91
58.59999990463257,92,92
58.799999952316284,92,92
59.09999990463257,92,92
59.299999952316284,92,92
59.5,92,92
59.700000047683716,92,92
59.90000009536743,92,92
60.09999990463257,93,93
60.40000009536743,94,94
60.59999990463257,94,94
60.799999952316284,94,94
61.0,94,94
61.200000047683716,95,95
61.40000009536743,95,95
61.700000047683716,95,95
61.90000009536743,95,95
62.09999990463257,95,95
62.299999952316284,95,95
62.5,95,95
62.799999952316284,95,95
63.0,95,95
63.200000047683716,95,95
63.40000009536743,96,96
63.59999990463257,97,97
63.799999952316284,97,97
64.09999990463257,99,99
64.29999995231628,99,99
64.5,99,99
64.70000004768372,99,99
64.90000009536743,100,100
65.09999990463257,100,100
65.40000009536743,100,100
65.59999990463257,100,100
65.79999995231628,100,100
66.0,100,100
66.20000004768372,101,101
66.40000009536743,101,101
66.70000004768372,101,101
66.90000009536743,101,101
67.09999990463257,101,101
67.29999995231628,102,101
67.5,102,102
67.70000004768372,102,102
68.0,103,103
68.20000004768372,104,103
68.40000009536743,104,104
68.59999990463257,105,105
68.79999995231628,105,105
69.09999990463257,105,105
69.29999995231628,105,105
69.5,105,105
69.70000004768372,105,105
69.90000009536743,105,105
70.09999990463257,105,105
70.29999995231628,105,105
70.59999990463257,105,105
70.79999995231628,105,105
71.0,105,105
71.20000004768372,107,107
71.40000009536743,107,107
71.70000004768372,107,107
71.90000009536743,107,107
72.09999990463257,107,107
72.29999995231628,107,107
72.5,107,107
72.70000004768372,107,107
73.0,107,107
73.20000004768372,108,108
73.40000009536743,108,108
73.59999990463257,108,108
73.79999995231628,108,108
74.0,108,108
74.29999995231628,108,108
74.5,108,108
74.70000004768372,108,108
74.90000009536743,108,108
75.09999990463257,108,108
75.29999995231628,109,109
75.59999990463257,109,109
75.79999995231628,109,109
76.0,109,109
76.20000004768372,109,109
76.40000009536743,109,109
76.59999990463257,109,109
76.90000009536743,109,109
77.09999990463257,110,110
77.29999995231628,110,110
77.5,110,110
77.70000004768372,110,110
78.0,110,110
78.20000004768372,111,111
78.40000009536743,111,111
78.59999990463257,111,111
78.79999995231628,111,111
79.09999990463257,111,111
79.29999995231628,112,112
79.5,112,112
79.70000004768372,112,112
80.0,112,112
80.20000004768372,112,112
80.40000009536743,112,112
80.59999990463257,112,112
80.79999995231628,112,112
81.09999990463257,113,113
81.29999995231628,113,113
81.5,113,113
81.70000004768372,113,113
81.90000009536743,113,113
82.20000004768372,113,113
82.40000009536743,113,113
82.59999990463257,113,113
82.79999995231628,113,113
83.09999990463257,113,113
83.29999995231628,113,113
83.5,113,113
83.70000004768372,114,114
83.90000009536743,114,114
84.20000004768372,114,114
84.40000009536743,114,114
84.59999990463257,114,114
84.79999995231628,114,114
85.0,114,114
85.20000004768372,115,115
85.5,115,115
85.70000004768372,115,115
85.90000009536743,115,115
86.09999990463257,115,115
86.29999995231628,115,115
86.5,115,115
86.70000004768372,115,115
87.0,115,115
87.20000004768372,115,115
87.40000009536743,115,115
87.59999990463257,115,115
87.79999995231628,115,115
88.0,115,115
88.29999995231628,115,115
88.5,115,115
88.70000004768372,115,115
88.90000009536743,115,115
89.09999990463257,115,115
89.29999995231628,115,115
89.5,115,115
89.79999995231628,115,115
90.0,116,116
90.20000004768372,116,116
90.40000009536743,117,117
90.59999990463257,117,117
90.90000009536743,117,117
91.09999990463257,117,117
91.29999995231628,117,117
91.5,117,117
91.70000004768372,117,117
